ts,open,high,low,close,volume
1737315000000,3427.94,3430.83,3422.29,3427.32,304.791614
1737315300000,3427.33,3428.07,3415.0,3417.96,760.68841
1737315600000,3418.0,3418.51,3411.39,3415.46,651.547631
1737315900000,3415.5,3420.07,3413.88,3418.48,274.207003
1737316200000,3417.93,3418.49,3411.4,3414.81,321.264905
1737316500000,3414.04,3419.42,3407.49,3419.41,617.340752
1737316800000,3419.42,3432.85,3417.41,3426.67,1280.616866
1737317100000,3426.66,3431.32,3419.64,3429.33,924.180902
1737317400000,3429.03,3429.94,3410.45,3412.89,961.455432
1737317700000,3412.85,3420.0,3403.65,3415.03,751.52127
1737318000000,3415.07,3423.39,3411.29,3423.29,812.145538
1737318300000,3423.29,3423.3,3415.44,3418.88,176.845927
1737318600000,3418.72,3421.99,3412.24,3416.3,350.688298
1737318900000,3416.3,3417.98,3406.12,3407.34,473.063179
1737319200000,3407.25,3407.69,3402.01,3405.52,468.980383
1737319500000,3405.9,3408.65,3389.02,3392.37,1738.864644
1737319800000,3392.52,3392.52,3361.99,3386.04,4317.65711
1737320100000,3386.11,3387.27,3373.67,3377.99,754.307835
1737320400000,3378.0,3379.49,3339.14,3341.38,2955.677488
1737320700000,3341.85,3368.15,3340.93,3367.87,1161.610603
1737321000000,3368.15,3376.12,3363.62,3374.02,807.471198
1737321300000,3374.01,3377.36,3365.49,3370.67,543.385898
1737321600000,3370.92,3373.63,3352.71,3353.94,1658.013871
1737321900000,3354.58,3354.58,3205.28,3251.06,20748.371488
1737322200000,3250.84,3292.97,3250.28,3287.18,11701.769021
1737322500000,3287.34,3297.29,3263.1,3279.98,2600.834176
1737322800000,3279.98,3288.23,3251.34,3253.65,1454.423293
1737323100000,3253.97,3272.91,3222.5,3235.46,5777.478624
1737323400000,3235.49,3260.68,3213.74,3217.13,4286.243104
1737323700000,3217.42,3245.53,3216.98,3232.47,2524.864468
1737324000000,3232.46,3249.33,3208.47,3231.82,2688.408563
1737324300000,3231.79,3261.15,3225.52,3231.31,2666.28498
1737324600000,3231.53,3259.33,3153.59,3258.51,11907.315074
1737324900000,3259.32,3314.54,3248.83,3282.8,12151.439884
1737325200000,3283.26,3284.97,3247.61,3275.07,3591.152868
1737325500000,3275.07,3293.93,3268.67,3293.93,1074.316518
1737325800000,3293.89,3294.33,3261.09,3262.05,1292.751178
1737326100000,3262.43,3262.43,3227.59,3231.03,1930.62768
1737326400000,3230.51,3255.83,3230.0,3252.84,1142.571729
1737326700000,3253.04,3253.04,3170.55,3207.06,3346.273617
1737327000000,3207.06,3247.9,3186.43,3245.29,3090.635338
1737327300000,3245.07,3266.66,3231.0,3266.61,2128.534499
1737327600000,3266.65,3267.34,3203.89,3222.24,3689.716816
1737327900000,3221.97,3243.9,3217.91,3241.0,1603.429147
